,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,66,AU,1580357043,31,-33.65,115.33,73.99,15.28
1,trelleborg,90,SE,1580357724,93,55.38,13.16,39.99,16.11
2,rikitea,100,PF,1580357724,72,-23.12,-134.97,79.39,6.96
3,cabo san lucas,75,MX,1580357707,59,22.89,-109.91,66.2,4.7
4,qaanaaq,100,GL,1580357706,95,77.48,-69.36,-19.32,1.34
5,saskylakh,92,RU,1580357725,98,71.92,114.08,-15.14,2.82
6,shache,10,CN,1580357725,90,38.42,77.24,32.0,2.55
7,sorland,98,NO,1580357725,67,67.67,12.69,37.47,13.67
8,mar del plata,5,AR,1580357617,87,-38.0,-57.56,60.01,4.7
9,vaini,75,TO,1580357725,79,-21.2,-175.2,86.0,5.82
10,kapaa,75,US,1580357725,61,22.08,-159.32,78.8,10.29
11,labuhan,100,ID,1580357725,73,-6.88,112.21,85.08,14.29
12,bethel,5,US,1580356854,68,41.37,-73.41,32.0,5.82
13,dicabisagan,19,PH,1580357726,63,17.08,122.42,77.49,6.04
14,saint-philippe,17,RE,1580357726,57,-21.36,55.77,80.6,3.36
15,eyl,99,SO,1580357726,75,7.98,49.82,72.43,19.1
16,ketchikan,90,US,1580357726,93,55.34,-131.65,37.4,16.11
17,ambilobe,100,MG,1580357726,91,-13.2,49.05,76.84,5.06
18,ushuaia,75,AR,1580357569,70,-54.8,-68.3,46.4,23.04
19,provideniya,0,RU,1580356938,63,64.38,-173.3,-5.8,4.47
20,cherskiy,98,RU,1580357726,96,68.75,161.3,-24.88,7.52
21,arraial do cabo,71,BR,1580357537,87,-22.97,-42.03,78.76,15.99
22,yellowknife,90,CA,1580357443,92,62.46,-114.35,19.0,5.82
23,mayumba,100,GA,1580357727,77,-3.43,10.66,82.33,4.97
24,deputatskiy,99,RU,1580357526,93,69.3,139.9,-12.91,4.21
25,mataura,70,NZ,1580357727,52,-46.19,168.86,71.01,18.01
26,takhtamygda,59,RU,1580357525,89,54.1,123.57,1.51,0.22
27,muros,98,ES,1580357679,83,42.78,-9.06,61.0,8.99
28,castrillon,100,ES,1580357727,82,43.4,-6.79,59.0,2.24
29,bluff,100,NZ,1580357728,52,-46.6,168.33,71.01,18.01
30,castro,100,BR,1580357728,98,-24.79,-50.01,66.25,2.39
31,punta arenas,20,CL,1580357728,71,-53.15,-70.92,51.8,32.21
32,isangel,75,VU,1580357728,78,-19.55,169.27,82.4,13.87
33,jamestown,1,US,1580357692,92,42.1,-79.24,21.0,5.82
34,kirchhain,75,DE,1580357728,80,50.82,8.97,41.0,13.87
35,usta muhammad,0,PK,1580357728,63,28.18,68.04,52.48,4.12
36,hobart,0,AU,1580357466,11,-42.88,147.33,96.8,13.87
37,sume,14,BR,1580357729,75,-7.67,-36.88,72.36,11.18
38,balabac,100,PH,1580357729,67,7.99,117.06,82.6,13.31
39,zhireken,67,RU,1580357729,88,52.82,117.31,4.3,3.13
40,laem sing,20,TH,1580357729,62,12.48,102.07,90.0,10.29
41,luanda,75,AO,1580357679,88,-8.84,13.23,75.2,5.82
42,port elizabeth,51,ZA,1580357729,82,-33.92,25.57,64.4,5.82
